Unique name,BioSample,Title,Organism,Tax id,Submission date,Status
RAL694,SAMEA115791556,RAL694,milk metagenome,1616037,2nd Jul 2024,Private
RAL693,SAMEA115791555,RAL693,milk metagenome,1616037,2nd Jul 2024,Private
RAL692,SAMEA115791554,RAL692,milk metagenome,1616037,2nd Jul 2024,Private
RAL681,SAMEA115791553,RAL681,milk metagenome,1616037,2nd Jul 2024,Private
RAL680,SAMEA115791552,RAL680,milk metagenome,1616037,2nd Jul 2024,Private
RAL678,SAMEA115791551,RAL678,milk metagenome,1616037,2nd Jul 2024,Private
RAL664,SAMEA115791550,RAL664,milk metagenome,1616037,2nd Jul 2024,Private
RAL663,SAMEA115791549,RAL663,milk metagenome,1616037,2nd Jul 2024,Private
RAL662,SAMEA115791548,RAL662,milk metagenome,1616037,2nd Jul 2024,Private
RAL661,SAMEA115791547,RAL661,milk metagenome,1616037,2nd Jul 2024,Private
RAL796,SAMEA115791546,RAL796,milk metagenome,1616037,2nd Jul 2024,Private
RAL795,SAMEA115791545,RAL795,milk metagenome,1616037,2nd Jul 2024,Private
RAL794,SAMEA115791544,RAL794,milk metagenome,1616037,2nd Jul 2024,Private
RAL793,SAMEA115791543,RAL793,milk metagenome,1616037,2nd Jul 2024,Private
RAL766,SAMEA115791542,RAL766,milk metagenome,1616037,2nd Jul 2024,Private
RAL765,SAMEA115791541,RAL765,milk metagenome,1616037,2nd Jul 2024,Private
RAL304,SAMEA115791483,RAL304,milk metagenome,1616037,2nd Jul 2024,Private
RAL303,SAMEA115791482,RAL303,milk metagenome,1616037,2nd Jul 2024,Private
RAL302,SAMEA115791481,RAL302,milk metagenome,1616037,2nd Jul 2024,Private
RAL136,SAMEA115791480,RAL136,milk metagenome,1616037,2nd Jul 2024,Private
RAL135,SAMEA115791479,RAL135,milk metagenome,1616037,2nd Jul 2024,Private
RAL134,SAMEA115791478,RAL134,milk metagenome,1616037,2nd Jul 2024,Private
RAL133,SAMEA115791477,RAL133,milk metagenome,1616037,2nd Jul 2024,Private
RAL158,SAMEA115791476,RAL158,milk metagenome,1616037,2nd Jul 2024,Private
RAL157,SAMEA115791475,RAL157,milk metagenome,1616037,2nd Jul 2024,Private
RAL156,SAMEA115791474,RAL156,milk metagenome,1616037,2nd Jul 2024,Private
RAL155,SAMEA115791473,RAL155,milk metagenome,1616037,2nd Jul 2024,Private
RAL317,SAMEA115791472,RAL317,milk metagenome,1616037,2nd Jul 2024,Private
RAL316,SAMEA115791471,RAL316,milk metagenome,1616037,2nd Jul 2024,Private
RAL315,SAMEA115791470,RAL315,milk metagenome,1616037,2nd Jul 2024,Private
RAL314,SAMEA115791469,RAL314,milk metagenome,1616037,2nd Jul 2024,Private
RAL212,SAMEA115791468,RAL212,milk metagenome,1616037,2nd Jul 2024,Private
RAL211,SAMEA115791467,RAL211,milk metagenome,1616037,2nd Jul 2024,Private
RAL210,SAMEA115791466,RAL210,milk metagenome,1616037,2nd Jul 2024,Private
RAL209,SAMEA115791465,RAL209,milk metagenome,1616037,2nd Jul 2024,Private
RAL232,SAMEA115791464,RAL232,milk metagenome,1616037,2nd Jul 2024,Private
RAL231,SAMEA115791463,RAL231,milk metagenome,1616037,2nd Jul 2024,Private
RAL230,SAMEA115791462,RAL230,milk metagenome,1616037,2nd Jul 2024,Private
RAL229,SAMEA115791461,RAL229,milk metagenome,1616037,2nd Jul 2024,Private
RAL162,SAMEA115791460,RAL162,milk metagenome,1616037,2nd Jul 2024,Private
RAL161,SAMEA115791459,RAL161,milk metagenome,1616037,2nd Jul 2024,Private
RAL160,SAMEA115791458,RAL160,milk metagenome,1616037,2nd Jul 2024,Private
RAL159,SAMEA115791457,RAL159,milk metagenome,1616037,2nd Jul 2024,Private
RAL18,SAMEA115791456,RAL18,milk metagenome,1616037,2nd Jul 2024,Private
RAL17,SAMEA115791455,RAL17,milk metagenome,1616037,2nd Jul 2024,Private
RAL16,SAMEA115791454,RAL16,milk metagenome,1616037,2nd Jul 2024,Private
RAL15,SAMEA115791453,RAL15,milk metagenome,1616037,2nd Jul 2024,Private
RAL94,SAMEA115791452,RAL94,milk metagenome,1616037,2nd Jul 2024,Private
RAL93,SAMEA115791451,RAL93,milk metagenome,1616037,2nd Jul 2024,Private
RAL92,SAMEA115791450,RAL92,milk metagenome,1616037,2nd Jul 2024,Private
RAL91,SAMEA115791449,RAL91,milk metagenome,1616037,2nd Jul 2024,Private
RAL54,SAMEA115791448,RAL54,milk metagenome,1616037,2nd Jul 2024,Private
RAL53,SAMEA115791447,RAL53,milk metagenome,1616037,2nd Jul 2024,Private
RAL52,SAMEA115791446,RAL52,milk metagenome,1616037,2nd Jul 2024,Private
RAL764,SAMEA115791540,RAL764,milk metagenome,1616037,2nd Jul 2024,Private
RAL763,SAMEA115791539,RAL763,milk metagenome,1616037,2nd Jul 2024,Private
RAL677,SAMEA115791538,RAL677,milk metagenome,1616037,2nd Jul 2024,Private
RAL676,SAMEA115791537,RAL676,milk metagenome,1616037,2nd Jul 2024,Private
RAL675,SAMEA115791536,RAL675,milk metagenome,1616037,2nd Jul 2024,Private
RAL674,SAMEA115791535,RAL674,milk metagenome,1616037,2nd Jul 2024,Private
RAL800,SAMEA115791534,RAL800,milk metagenome,1616037,2nd Jul 2024,Private
RAL799,SAMEA115791533,RAL799,milk metagenome,1616037,2nd Jul 2024,Private
RAL798,SAMEA115791532,RAL798,milk metagenome,1616037,2nd Jul 2024,Private
RAL797,SAMEA115791531,RAL797,milk metagenome,1616037,2nd Jul 2024,Private
RAL740,SAMEA115791530,RAL740,milk metagenome,1616037,2nd Jul 2024,Private
RAL739,SAMEA115791529,RAL739,milk metagenome,1616037,2nd Jul 2024,Private
RAL738,SAMEA115791528,RAL738,milk metagenome,1616037,2nd Jul 2024,Private
RAL737,SAMEA115791527,RAL737,milk metagenome,1616037,2nd Jul 2024,Private
RAL217,SAMEA115791526,RAL217,milk metagenome,1616037,2nd Jul 2024,Private
RAL216,SAMEA115791525,RAL216,milk metagenome,1616037,2nd Jul 2024,Private
RAL215,SAMEA115791524,RAL215,milk metagenome,1616037,2nd Jul 2024,Private
RAL214,SAMEA115791523,RAL214,milk metagenome,1616037,2nd Jul 2024,Private
RAL166,SAMEA115791522,RAL166,milk metagenome,1616037,2nd Jul 2024,Private
RAL165,SAMEA115791521,RAL165,milk metagenome,1616037,2nd Jul 2024,Private
RAL164,SAMEA115791520,RAL164,milk metagenome,1616037,2nd Jul 2024,Private
RAL163,SAMEA115791519,RAL163,milk metagenome,1616037,2nd Jul 2024,Private
RAL199,SAMEA115791518,RAL199,milk metagenome,1616037,2nd Jul 2024,Private
RAL198,SAMEA115791517,RAL198,milk metagenome,1616037,2nd Jul 2024,Private
RAL197,SAMEA115791516,RAL197,milk metagenome,1616037,2nd Jul 2024,Private
RAL196,SAMEA115791515,RAL196,milk metagenome,1616037,2nd Jul 2024,Private
RAL340,SAMEA115791514,RAL340,milk metagenome,1616037,2nd Jul 2024,Private
RAL339,SAMEA115791513,RAL339,milk metagenome,1616037,2nd Jul 2024,Private
RAL338,SAMEA115791512,RAL338,milk metagenome,1616037,2nd Jul 2024,Private
RAL337,SAMEA115791511,RAL337,milk metagenome,1616037,2nd Jul 2024,Private
RAL132,SAMEA115791510,RAL132,milk metagenome,1616037,2nd Jul 2024,Private
RAL131,SAMEA115791509,RAL131,milk metagenome,1616037,2nd Jul 2024,Private
RAL130,SAMEA115791508,RAL130,milk metagenome,1616037,2nd Jul 2024,Private
RAL129,SAMEA115791507,RAL129,milk metagenome,1616037,2nd Jul 2024,Private
RAL186,SAMEA115791506,RAL186,milk metagenome,1616037,2nd Jul 2024,Private
RAL185,SAMEA115791505,RAL185,milk metagenome,1616037,2nd Jul 2024,Private
RAL184,SAMEA115791504,RAL184,milk metagenome,1616037,2nd Jul 2024,Private
RAL183,SAMEA115791503,RAL183,milk metagenome,1616037,2nd Jul 2024,Private
RAL140,SAMEA115791502,RAL140,milk metagenome,1616037,2nd Jul 2024,Private
RAL139,SAMEA115791501,RAL139,milk metagenome,1616037,2nd Jul 2024,Private
RAL138,SAMEA115791500,RAL138,milk metagenome,1616037,2nd Jul 2024,Private
RAL280,SAMEA115791499,RAL280,milk metagenome,1616037,2nd Jul 2024,Private
RAL279,SAMEA115791498,RAL279,milk metagenome,1616037,2nd Jul 2024,Private
RAL278,SAMEA115791497,RAL278,milk metagenome,1616037,2nd Jul 2024,Private
RAL277,SAMEA115791496,RAL277,milk metagenome,1616037,2nd Jul 2024,Private
RAL321,SAMEA115791495,RAL321,milk metagenome,1616037,2nd Jul 2024,Private
RAL320,SAMEA115791494,RAL320,milk metagenome,1616037,2nd Jul 2024,Private
RAL318,SAMEA115791493,RAL318,milk metagenome,1616037,2nd Jul 2024,Private
RAL309,SAMEA115791492,RAL309,milk metagenome,1616037,2nd Jul 2024,Private
RAL308,SAMEA115791491,RAL308,milk metagenome,1616037,2nd Jul 2024,Private
RAL307,SAMEA115791490,RAL307,milk metagenome,1616037,2nd Jul 2024,Private
RAL306,SAMEA115791489,RAL306,milk metagenome,1616037,2nd Jul 2024,Private
RAL260,SAMEA115791488,RAL260,milk metagenome,1616037,2nd Jul 2024,Private
RAL259,SAMEA115791487,RAL259,milk metagenome,1616037,2nd Jul 2024,Private
RAL258,SAMEA115791486,RAL258,milk metagenome,1616037,2nd Jul 2024,Private
RAL257,SAMEA115791485,RAL257,milk metagenome,1616037,2nd Jul 2024,Private
RAL305,SAMEA115791484,RAL305,milk metagenome,1616037,2nd Jul 2024,Private
RAL51,SAMEA115791445,RAL51,milk metagenome,1616037,2nd Jul 2024,Private
RAL26,SAMEA115791444,RAL26,milk metagenome,1616037,2nd Jul 2024,Private
RAL25,SAMEA115791443,RAL25,milk metagenome,1616037,2nd Jul 2024,Private
RAL24,SAMEA115791442,RAL24,milk metagenome,1616037,2nd Jul 2024,Private
RAL23,SAMEA115791441,RAL23,milk metagenome,1616037,2nd Jul 2024,Private
RAL117,SAMEA115791440,RAL117,milk metagenome,1616037,2nd Jul 2024,Private
RAL116,SAMEA115791439,RAL116,milk metagenome,1616037,2nd Jul 2024,Private
RAL115,SAMEA115791438,RAL115,milk metagenome,1616037,2nd Jul 2024,Private
RAL114,SAMEA115791437,RAL114,milk metagenome,1616037,2nd Jul 2024,Private
RAL90,SAMEA115791436,RAL90,milk metagenome,1616037,2nd Jul 2024,Private
RAL89,SAMEA115791435,RAL89,milk metagenome,1616037,2nd Jul 2024,Private
RAL88,SAMEA115791434,RAL88,milk metagenome,1616037,2nd Jul 2024,Private
RAL87,SAMEA115791433,RAL87,milk metagenome,1616037,2nd Jul 2024,Private
RAL475,SAMEA115791432,RAL475,milk metagenome,1616037,2nd Jul 2024,Private
RAL474,SAMEA115791431,RAL474,milk metagenome,1616037,2nd Jul 2024,Private
RAL473,SAMEA115791430,RAL473,milk metagenome,1616037,2nd Jul 2024,Private
RAL472,SAMEA115791429,RAL472,milk metagenome,1616037,2nd Jul 2024,Private
RAL4,SAMEA115791428,RAL4,milk metagenome,1616037,2nd Jul 2024,Private
RAL3,SAMEA115791427,RAL3,milk metagenome,1616037,2nd Jul 2024,Private
RAL2,SAMEA115791426,RAL2,milk metagenome,1616037,2nd Jul 2024,Private
RAL1,SAMEA115791425,RAL1,milk metagenome,1616037,2nd Jul 2024,Private
RAL459,SAMEA115791424,RAL459,milk metagenome,1616037,2nd Jul 2024,Private
RAL458,SAMEA115791423,RAL458,milk metagenome,1616037,2nd Jul 2024,Private
RAL457,SAMEA115791422,RAL457,milk metagenome,1616037,2nd Jul 2024,Private
RAL456,SAMEA115791421,RAL456,milk metagenome,1616037,2nd Jul 2024,Private
RAL467,SAMEA115791420,RAL467,milk metagenome,1616037,2nd Jul 2024,Private
RAL466,SAMEA115791419,RAL466,milk metagenome,1616037,2nd Jul 2024,Private
RAL465,SAMEA115791418,RAL465,milk metagenome,1616037,2nd Jul 2024,Private
RAL464,SAMEA115791417,RAL464,milk metagenome,1616037,2nd Jul 2024,Private
RAL425,SAMEA115791416,RAL425,milk metagenome,1616037,2nd Jul 2024,Private
RAL424,SAMEA115791415,RAL424,milk metagenome,1616037,2nd Jul 2024,Private
RAL423,SAMEA115791414,RAL423,milk metagenome,1616037,2nd Jul 2024,Private
RAL422,SAMEA115791413,RAL422,milk metagenome,1616037,2nd Jul 2024,Private
RAL496,SAMEA115791412,RAL496,milk metagenome,1616037,2nd Jul 2024,Private
RAL495,SAMEA115791411,RAL495,milk metagenome,1616037,2nd Jul 2024,Private
RAL494,SAMEA115791410,RAL494,milk metagenome,1616037,2nd Jul 2024,Private
RAL493,SAMEA115791409,RAL493,milk metagenome,1616037,2nd Jul 2024,Private
RAL471,SAMEA115791408,RAL471,milk metagenome,1616037,2nd Jul 2024,Private
RAL470,SAMEA115791407,RAL470,milk metagenome,1616037,2nd Jul 2024,Private
RAL469,SAMEA115791406,RAL469,milk metagenome,1616037,2nd Jul 2024,Private
RAL468,SAMEA115791405,RAL468,milk metagenome,1616037,2nd Jul 2024,Private
RAL463,SAMEA115791404,RAL463,milk metagenome,1616037,2nd Jul 2024,Private
RAL462,SAMEA115791403,RAL462,milk metagenome,1616037,2nd Jul 2024,Private
RAL461,SAMEA115791402,RAL461,milk metagenome,1616037,2nd Jul 2024,Private
RAL460,SAMEA115791401,RAL460,milk metagenome,1616037,2nd Jul 2024,Private
RAL440,SAMEA115791400,RAL440,milk metagenome,1616037,2nd Jul 2024,Private
RAL439,SAMEA115791399,RAL439,milk metagenome,1616037,2nd Jul 2024,Private
RAL438,SAMEA115791398,RAL438,milk metagenome,1616037,2nd Jul 2024,Private
RAL407,SAMEA115791397,RAL407,milk metagenome,1616037,2nd Jul 2024,Private
RAL406,SAMEA115791396,RAL406,milk metagenome,1616037,2nd Jul 2024,Private
RAL405,SAMEA115791395,RAL405,milk metagenome,1616037,2nd Jul 2024,Private
RAL404,SAMEA115791394,RAL404,milk metagenome,1616037,2nd Jul 2024,Private
RAL388,SAMEA115791393,RAL388,milk metagenome,1616037,2nd Jul 2024,Private
RAL387,SAMEA115791392,RAL387,milk metagenome,1616037,2nd Jul 2024,Private
RAL386,SAMEA115791391,RAL386,milk metagenome,1616037,2nd Jul 2024,Private
RAL385,SAMEA115791390,RAL385,milk metagenome,1616037,2nd Jul 2024,Private
RAL429,SAMEA115791389,RAL429,milk metagenome,1616037,2nd Jul 2024,Private
RAL428,SAMEA115791388,RAL428,milk metagenome,1616037,2nd Jul 2024,Private
RAL427,SAMEA115791387,RAL427,milk metagenome,1616037,2nd Jul 2024,Private
RAL426,SAMEA115791386,RAL426,milk metagenome,1616037,2nd Jul 2024,Private
RAL623,SAMEA115791385,RAL623,milk metagenome,1616037,2nd Jul 2024,Private
RAL622,SAMEA115791384,RAL622,milk metagenome,1616037,2nd Jul 2024,Private
RAL621,SAMEA115791383,RAL621,milk metagenome,1616037,2nd Jul 2024,Private
RAL620,SAMEA115791382,RAL620,milk metagenome,1616037,2nd Jul 2024,Private
RAL529,SAMEA115791381,RAL529,milk metagenome,1616037,2nd Jul 2024,Private
RAL528,SAMEA115791380,RAL528,milk metagenome,1616037,2nd Jul 2024,Private
RAL527,SAMEA115791379,RAL527,milk metagenome,1616037,2nd Jul 2024,Private
RAL526,SAMEA115791378,RAL526,milk metagenome,1616037,2nd Jul 2024,Private
RAL601,SAMEA115791377,RAL601,milk metagenome,1616037,2nd Jul 2024,Private
RAL600,SAMEA115791376,RAL600,milk metagenome,1616037,2nd Jul 2024,Private
RAL599,SAMEA115791375,RAL599,milk metagenome,1616037,2nd Jul 2024,Private
RAL598,SAMEA115791374,RAL598,milk metagenome,1616037,2nd Jul 2024,Private
RAL640,SAMEA115791373,RAL640,milk metagenome,1616037,2nd Jul 2024,Private
RAL639,SAMEA115791372,RAL639,milk metagenome,1616037,2nd Jul 2024,Private
RAL638,SAMEA115791371,RAL638,milk metagenome,1616037,2nd Jul 2024,Private
RAL637,SAMEA115791370,RAL637,milk metagenome,1616037,2nd Jul 2024,Private
RAL517,SAMEA115791369,RAL517,milk metagenome,1616037,2nd Jul 2024,Private
RAL516,SAMEA115791368,RAL516,milk metagenome,1616037,2nd Jul 2024,Private
RAL515,SAMEA115791367,RAL515,milk metagenome,1616037,2nd Jul 2024,Private
RAL514,SAMEA115791366,RAL514,milk metagenome,1616037,2nd Jul 2024,Private
RAL619,SAMEA115791365,RAL619,milk metagenome,1616037,2nd Jul 2024,Private
RAL618,SAMEA115791364,RAL618,milk metagenome,1616037,2nd Jul 2024,Private
RAL617,SAMEA115791363,RAL617,milk metagenome,1616037,2nd Jul 2024,Private
RAL616,SAMEA115791362,RAL616,milk metagenome,1616037,2nd Jul 2024,Private
RAL513,SAMEA115791361,RAL513,milk metagenome,1616037,2nd Jul 2024,Private
RAL512,SAMEA115791360,RAL512,milk metagenome,1616037,2nd Jul 2024,Private
RAL511,SAMEA115791359,RAL511,milk metagenome,1616037,2nd Jul 2024,Private
RAL510,SAMEA115791358,RAL510,milk metagenome,1616037,2nd Jul 2024,Private
RAL537,SAMEA115791357,RAL537,milk metagenome,1616037,2nd Jul 2024,Private
RAL536,SAMEA115791356,RAL536,milk metagenome,1616037,2nd Jul 2024,Private
RAL535,SAMEA115791355,RAL535,milk metagenome,1616037,2nd Jul 2024,Private
RAL534,SAMEA115791354,RAL534,milk metagenome,1616037,2nd Jul 2024,Private
RAL525,SAMEA115791353,RAL525,milk metagenome,1616037,2nd Jul 2024,Private
RAL524,SAMEA115791352,RAL524,milk metagenome,1616037,2nd Jul 2024,Private
RAL523,SAMEA115791351,RAL523,milk metagenome,1616037,2nd Jul 2024,Private
RAL522,SAMEA115791350,RAL522,milk metagenome,1616037,2nd Jul 2024,Private
RAL509,SAMEA115791349,RAL509,milk metagenome,1616037,2nd Jul 2024,Private
RAL508,SAMEA115791348,RAL508,milk metagenome,1616037,2nd Jul 2024,Private
RAL507,SAMEA115791347,RAL507,milk metagenome,1616037,2nd Jul 2024,Private
RAL506,SAMEA115791346,RAL506,milk metagenome,1616037,2nd Jul 2024,Private
RAL521,SAMEA115791345,RAL521,milk metagenome,1616037,2nd Jul 2024,Private
RAL520,SAMEA115791344,RAL520,milk metagenome,1616037,2nd Jul 2024,Private
RAL519,SAMEA115791343,RAL519,milk metagenome,1616037,2nd Jul 2024,Private
RAL518,SAMEA115791342,RAL518,milk metagenome,1616037,2nd Jul 2024,Private
RAL649,SAMEA115791341,RAL649,milk metagenome,1616037,2nd Jul 2024,Private
RAL648,SAMEA115791340,RAL648,milk metagenome,1616037,2nd Jul 2024,Private
RAL647,SAMEA115791339,RAL647,milk metagenome,1616037,2nd Jul 2024,Private
RAL646,SAMEA115791338,RAL646,milk metagenome,1616037,2nd Jul 2024,Private
