Checklist	ERC000013	GSC MIxS host associated														
sample_alias	tax_id	scientific_name	sample_title	sample_description	sample derived from	project name	collection date	geographic location (country and/or sea)	geographic location (latitude)	geographic location (longitude)	broad-scale environmental context	local environmental context	environmental medium	host taxid	host body site	host sex
#units	 	 	 	 	 	 	 	 	DD	DD	 	 	 			
RAR1	506599	bovine gut metagenome	1	rumen liquor		PRJEB77087	2022-05-30	Italy	45.006381	9.703776	UBERON_0001007	UBERON_0001007	UBERON_0001007	9913	rumen	female
RAR59	506599	bovine gut metagenome	2	rumen liquor		PRJEB77087	2022-05-30	Italy	45.006381	9.703776	UBERON_0001007	UBERON_0001007	UBERON_0001007	9913	rumen	female
RAR31	506599	bovine gut metagenome	3	rumen liquor		PRJEB77087	2022-05-30	Italy	45.006381	9.703776	UBERON_0001007	UBERON_0001007	UBERON_0001007	9913	rumen	female
RAR32	506599	bovine gut metagenome	4	rumen liquor		PRJEB77087	2022-05-30	Italy	45.006381	9.703776	UBERON_0001007	UBERON_0001007	UBERON_0001007	9913	rumen	female
RAR75	506599	bovine gut metagenome	5	rumen liquor		PRJEB77087	2022-05-30	Italy	45.006381	9.703776	UBERON_0001007	UBERON_0001007	UBERON_0001007	9913	rumen	female
RAR6	506599	bovine gut metagenome	6	rumen liquor		PRJEB77087	2022-05-30	Italy	45.006381	9.703776	UBERON_0001007	UBERON_0001007	UBERON_0001007	9913	rumen	female
RAR34	506599	bovine gut metagenome	7	rumen liquor		PRJEB77087	2022-05-30	Italy	45.006381	9.703776	UBERON_0001007	UBERON_0001007	UBERON_0001007	9913	rumen	female
RAR35	506599	bovine gut metagenome	8	rumen liquor		PRJEB77087	2022-05-30	Italy	45.006381	9.703776	UBERON_0001007	UBERON_0001007	UBERON_0001007	9913	rumen	female
RAR20	506599	bovine gut metagenome	9	rumen liquor		PRJEB77087	2022-05-30	Italy	45.006381	9.703776	UBERON_0001007	UBERON_0001007	UBERON_0001007	9913	rumen	female
RAR13	506599	bovine gut metagenome	10	rumen liquor		PRJEB77087	2022-05-30	Italy	45.006381	9.703776	UBERON_0001007	UBERON_0001007	UBERON_0001007	9913	rumen	female
RAR11	506599	bovine gut metagenome	11	rumen liquor		PRJEB77087	2022-05-30	Italy	45.006381	9.703776	UBERON_0001007	UBERON_0001007	UBERON_0001007	9913	rumen	female
RAR7	506599	bovine gut metagenome	12	rumen liquor		PRJEB77087	2022-05-30	Italy	45.006381	9.703776	UBERON_0001007	UBERON_0001007	UBERON_0001007	9913	rumen	female
RAR56	506599	bovine gut metagenome	13	rumen liquor		PRJEB77087	2022-05-30	Italy	45.006381	9.703776	UBERON_0001007	UBERON_0001007	UBERON_0001007	9913	rumen	female
RAR57	506599	bovine gut metagenome	14	rumen liquor		PRJEB77087	2022-05-30	Italy	45.006381	9.703776	UBERON_0001007	UBERON_0001007	UBERON_0001007	9913	rumen	female
RAR61	506599	bovine gut metagenome	15	rumen liquor		PRJEB77087	2022-05-30	Italy	45.006381	9.703776	UBERON_0001007	UBERON_0001007	UBERON_0001007	9913	rumen	female
RAR81	506599	bovine gut metagenome	16	rumen liquor		PRJEB77087	2022-05-30	Italy	45.006381	9.703776	UBERON_0001007	UBERON_0001007	UBERON_0001007	9913	rumen	female
RAR73	506599	bovine gut metagenome	17	rumen liquor		PRJEB77087	2022-05-30	Italy	45.006381	9.703776	UBERON_0001007	UBERON_0001007	UBERON_0001007	9913	rumen	female
RAR86	506599	bovine gut metagenome	18	rumen liquor		PRJEB77087	2022-05-30	Italy	45.006381	9.703776	UBERON_0001007	UBERON_0001007	UBERON_0001007	9913	rumen	female
RAR66	506599	bovine gut metagenome	19	rumen liquor		PRJEB77087	2022-05-30	Italy	45.006381	9.703776	UBERON_0001007	UBERON_0001007	UBERON_0001007	9913	rumen	female
RAR78	506599	bovine gut metagenome	20	rumen liquor		PRJEB77087	2022-05-30	Italy	45.006381	9.703776	UBERON_0001007	UBERON_0001007	UBERON_0001007	9913	rumen	female
RAR67	506599	bovine gut metagenome	21	rumen liquor		PRJEB77087	2022-05-30	Italy	45.006381	9.703776	UBERON_0001007	UBERON_0001007	UBERON_0001007	9913	rumen	female
RAR74	506599	bovine gut metagenome	22	rumen liquor		PRJEB77087	2022-05-30	Italy	45.006381	9.703776	UBERON_0001007	UBERON_0001007	UBERON_0001007	9913	rumen	female
RAR79	506599	bovine gut metagenome	23	rumen liquor		PRJEB77087	2022-05-30	Italy	45.006381	9.703776	UBERON_0001007	UBERON_0001007	UBERON_0001007	9913	rumen	female
RAR87	506599	bovine gut metagenome	24	rumen liquor		PRJEB77087	2022-05-30	Italy	45.006381	9.703776	UBERON_0001007	UBERON_0001007	UBERON_0001007	9913	rumen	female
RAR88	506599	bovine gut metagenome	25	rumen liquor		PRJEB77087	2022-05-30	Italy	45.006381	9.703776	UBERON_0001007	UBERON_0001007	UBERON_0001007	9913	rumen	female
RAR77	506599	bovine gut metagenome	26	rumen liquor		PRJEB77087	2022-05-30	Italy	45.006381	9.703776	UBERON_0001007	UBERON_0001007	UBERON_0001007	9913	rumen	female
RAR62	506599	bovine gut metagenome	27	rumen liquor		PRJEB77087	2022-05-30	Italy	45.006381	9.703776	UBERON_0001007	UBERON_0001007	UBERON_0001007	9913	rumen	female
RAR70	506599	bovine gut metagenome	28	rumen liquor		PRJEB77087	2022-05-30	Italy	45.006381	9.703776	UBERON_0001007	UBERON_0001007	UBERON_0001007	9913	rumen	female
RAR82	506599	bovine gut metagenome	29	rumen liquor		PRJEB77087	2022-05-30	Italy	45.006381	9.703776	UBERON_0001007	UBERON_0001007	UBERON_0001007	9913	rumen	female
RAR95	506599	bovine gut metagenome	30	rumen liquor		PRJEB77087	2022-05-30	Italy	45.006381	9.703776	UBERON_0001007	UBERON_0001007	UBERON_0001007	9913	rumen	female
RAR60	506599	bovine gut metagenome	31	rumen liquor		PRJEB77087	2022-05-30	Italy	45.006381	9.703776	UBERON_0001007	UBERON_0001007	UBERON_0001007	9913	rumen	female
RAR91	506599	bovine gut metagenome	32	rumen liquor		PRJEB77087	2022-05-30	Italy	45.006381	9.703776	UBERON_0001007	UBERON_0001007	UBERON_0001007	9913	rumen	female
RAR92	506599	bovine gut metagenome	33	rumen liquor		PRJEB77087	2022-05-30	Italy	45.006381	9.703776	UBERON_0001007	UBERON_0001007	UBERON_0001007	9913	rumen	female
RAR85	506599	bovine gut metagenome	34	rumen liquor		PRJEB77087	2022-05-30	Italy	45.006381	9.703776	UBERON_0001007	UBERON_0001007	UBERON_0001007	9913	rumen	female
RAR96	506599	bovine gut metagenome	35	rumen liquor		PRJEB77087	2022-05-30	Italy	45.006381	9.703776	UBERON_0001007	UBERON_0001007	UBERON_0001007	9913	rumen	female
RAR72	506599	bovine gut metagenome	36	rumen liquor		PRJEB77087	2022-05-30	Italy	45.006381	9.703776	UBERON_0001007	UBERON_0001007	UBERON_0001007	9913	rumen	female
RAR94	506599	bovine gut metagenome	37	rumen liquor		PRJEB77087	2022-05-30	Italy	45.006381	9.703776	UBERON_0001007	UBERON_0001007	UBERON_0001007	9913	rumen	female
RAR69	506599	bovine gut metagenome	38	rumen liquor		PRJEB77087	2022-05-30	Italy	45.006381	9.703776	UBERON_0001007	UBERON_0001007	UBERON_0001007	9913	rumen	female
RAR90	506599	bovine gut metagenome	39	rumen liquor		PRJEB77087	2022-05-30	Italy	45.006381	9.703776	UBERON_0001007	UBERON_0001007	UBERON_0001007	9913	rumen	female
RAR115	506599	bovine gut metagenome	40	rumen liquor		PRJEB77087	2022-05-30	Italy	45.006381	9.703776	UBERON_0001007	UBERON_0001007	UBERON_0001007	9913	rumen	female
RAR102	506599	bovine gut metagenome	41	rumen liquor		PRJEB77087	2022-05-30	Italy	45.006381	9.703776	UBERON_0001007	UBERON_0001007	UBERON_0001007	9913	rumen	female
RAR121	506599	bovine gut metagenome	42	rumen liquor		PRJEB77087	2022-05-30	Italy	45.006381	9.703776	UBERON_0001007	UBERON_0001007	UBERON_0001007	9913	rumen	female
RAR101	506599	bovine gut metagenome	43	rumen liquor		PRJEB77087	2022-05-30	Italy	45.006381	9.703776	UBERON_0001007	UBERON_0001007	UBERON_0001007	9913	rumen	female
RAR120	506599	bovine gut metagenome	44	rumen liquor		PRJEB77087	2022-05-30	Italy	45.006381	9.703776	UBERON_0001007	UBERON_0001007	UBERON_0001007	9913	rumen	female
RAR106	506599	bovine gut metagenome	45	rumen liquor		PRJEB77087	2022-05-30	Italy	45.006381	9.703776	UBERON_0001007	UBERON_0001007	UBERON_0001007	9913	rumen	female
RAR98	506599	bovine gut metagenome	46	rumen liquor		PRJEB77087	2022-05-30	Italy	45.006381	9.703776	UBERON_0001007	UBERON_0001007	UBERON_0001007	9913	rumen	female
RAR99	506599	bovine gut metagenome	47	rumen liquor		PRJEB77087	2022-05-30	Italy	45.006381	9.703776	UBERON_0001007	UBERON_0001007	UBERON_0001007	9913	rumen	female
RAR103	506599	bovine gut metagenome	48	rumen liquor		PRJEB77087	2022-05-30	Italy	45.006381	9.703776	UBERON_0001007	UBERON_0001007	UBERON_0001007	9913	rumen	female
RAR110	506599	bovine gut metagenome	49	rumen liquor		PRJEB77087	2022-05-30	Italy	45.006381	9.703776	UBERON_0001007	UBERON_0001007	UBERON_0001007	9913	rumen	female
RAR116	506599	bovine gut metagenome	50	rumen liquor		PRJEB77087	2022-05-30	Italy	45.006381	9.703776	UBERON_0001007	UBERON_0001007	UBERON_0001007	9913	rumen	female
RAR100	506599	bovine gut metagenome	51	rumen liquor		PRJEB77087	2022-05-30	Italy	45.006381	9.703776	UBERON_0001007	UBERON_0001007	UBERON_0001007	9913	rumen	female
RAR125	506599	bovine gut metagenome	52	rumen liquor		PRJEB77087	2022-05-30	Italy	45.006381	9.703776	UBERON_0001007	UBERON_0001007	UBERON_0001007	9913	rumen	female
RAR111	506599	bovine gut metagenome	53	rumen liquor		PRJEB77087	2022-05-30	Italy	45.006381	9.703776	UBERON_0001007	UBERON_0001007	UBERON_0001007	9913	rumen	female
RAR109	506599	bovine gut metagenome	54	rumen liquor		PRJEB77087	2022-05-30	Italy	45.006381	9.703776	UBERON_0001007	UBERON_0001007	UBERON_0001007	9913	rumen	female
RAR113	506599	bovine gut metagenome	55	rumen liquor		PRJEB77087	2022-05-30	Italy	45.006381	9.703776	UBERON_0001007	UBERON_0001007	UBERON_0001007	9913	rumen	female
RAR108	506599	bovine gut metagenome	56	rumen liquor		PRJEB77087	2022-05-30	Italy	45.006381	9.703776	UBERON_0001007	UBERON_0001007	UBERON_0001007	9913	rumen	female
RAR123	506599	bovine gut metagenome	57	rumen liquor		PRJEB77087	2022-05-30	Italy	45.006381	9.703776	UBERON_0001007	UBERON_0001007	UBERON_0001007	9913	rumen	female
RAR119	506599	bovine gut metagenome	58	rumen liquor		PRJEB77087	2022-05-30	Italy	45.006381	9.703776	UBERON_0001007	UBERON_0001007	UBERON_0001007	9913	rumen	female
RAR117	506599	bovine gut metagenome	59	rumen liquor		PRJEB77087	2022-05-30	Italy	45.006381	9.703776	UBERON_0001007	UBERON_0001007	UBERON_0001007	9913	rumen	female
RAR105	506599	bovine gut metagenome	60	rumen liquor		PRJEB77087	2022-05-30	Italy	45.006381	9.703776	UBERON_0001007	UBERON_0001007	UBERON_0001007	9913	rumen	female
